Trek Place,Max Duration,Trek Style,Trip Cost,Difficulty,Group (>=5),Good to Go
Everest Three Passes Trek,36,Teahouse,100K,Challenging,Yes,Yes 
Manaslu Circuit Trek,26,Teahouse,110K,Challenging,Yes,No 
Langtang Trek,14,Teahouse,96K,Moderate,No,Yes 
Annapurna Base Camp,24,Teahouse,140K,Moderate,Yes,No 
Upper Mustang Trek,24,Teahouse,120K,Moderate,Yes,Yes 
Gokyo Lake Trek,24,Remote(Camping),70K,Challenging,Yes,No 
Dhaulagiri Circuit Trek,28,Remote(Camping),80K,Very Challenging,Yes,Yes 
Nar Phu Valley Trek,18,Remote(Camping),60K,Challenging,No,No 
Everest Base Camp Trek,28,Teahouse,110K,Challenging,Yes,Yes 
Annapurna Circuit Trek,24,Teahouse,120K,Challenging,Yes,Yes 
