Area,place,Bedrooms,Bathrooms,Interiorarea,exteriorarea,Price
"Aleomandra, Casa Reale Mykonos, Southern Aegean",Greece,10,10,11840,0.99,14349994
"Santa Maria, Alcaeus Paros, Southern Aegean",Greece,8,8,3552,2.47,12161012
"Ftelia, Alira Mykonos, Southern Aegean",Greece,26,30,15069,2.72,12161012
"Santa Maria, Sappho Paros, Southern Aegean Paros, Southern Aegean",Greece,7,6,3552,2.51,12161012
"Pirgi, Chateau Mykonos, Southern Aegean",Greece,17,17,13993,2.47,12039402
"Mpenitses, Iconic Shore Corfu, Ionian Islands",Greece,7,7,7534,1,11917792
"Vathi Rema, Avra Estate Ios, Southern Aegean",Greece,6,7,7750,99.34,11917792
"Tourlos, Elysium Mykonos, Southern Aegean",Greece,9,11,7534,0.99,10701690
"Santa Maria, Ailia Paros, Southern Aegean",Greece,14,14,8611,2.05,9242369
"Aghios Emilianos, Splendide Kranidi, Argolida",Greece,8,8,7104,0.99,9120759
"Voula, Kyros Voula, Attiki",Greece,8,12,14531,0.23,9120759
"via Scalini
Brunate, Como",Italy,10,5,12701,0,24322024
"Capannori,Capannori, Lucca",Italy,11,9,53819,12.36,23105922
"Via Tiberio Gazzei Radicondoli, Siena",Italy,70,80,123784,2223.95,23105922
"della Crocina Pistoia, Pistoia",Italy,35,16,48437,98.84,20673720
"La Miata Porto Cervo, Sassari",Italy,6,9,10225,0,18241518
"Voula, Kyros Voula, Attiki",Italy,8,12,14531,0.23,9120759
"Aghios Emilianos, Splendide Kranidi, Argolida",Italy,8,8,7104,0.99,9120759
"Kassiopi, Magna Grecia Corfu, Ionian IslandsTroulos, Mediterranean Blossom Skiathos, Thessaly",Greece,7,9,7534,8.22,10336860
"Mpenitses, Iconic Shore Corfu, Ionian Islands",Greece,7,8,7534,1,11917792
Viale della Repubblica Forte Dei Marmi,Italy,7,8,9149,0,18241518
"Via Collegalli Montaione, Florence",Italy,15,10,168508,0,17025417
"Gaiole In Chianti, Siena",Italy,19,21,43055,291.58,17025417
"Strada dei Tufi Siena, Siena",Italy,17,17,32291,79.07,16417366
"Viale Vittorio Veneto Radicondoli, Siena",Italy,80,80,170693,1687.73,15809315
